地域コード,地域,人口
16207,富山県 黒部市,39638
16208,富山県 砺波市,48154
16209,富山県 小矢部市,28983
16210,富山県 南砺市,47937
16211,富山県 射水市,90742
16321,富山県 舟橋村,3132
16322,富山県 上市町,19351
16323,富山県 立山町,24792
16342,富山県 入善町,23839
16343,富山県 朝日町,11081
17201,石川県 金沢市,463254
17202,石川県 七尾市,50300
17203,石川県 小松市,106216
17204,石川県 輪島市,24608
17205,石川県 珠洲市,12929
17206,石川県 加賀市,63220
17207,石川県 羽咋市,20407
17209,石川県 かほく市,34889
17210,石川県 白山市,110408
17211,石川県 能美市,48523
17212,石川県 野々市市,57238
17324,石川県 川北町,6135
17361,石川県 津幡町,36957
17365,石川県 内灘町,26574
17384,石川県 志賀町,18630
17386,石川県 宝達志水町,12121
17407,石川県 中能登町,16540
17461,石川県 穴水町,7890
17463,石川県 能登町,15687
18201,福井県 福井市,262328
18202,福井県 敦賀市,64264
18204,福井県 小浜市,28991
18205,福井県 大野市,31286
18206,福井県 勝山市,22150
18207,福井県 鯖江市,68302
18208,福井県 あわら市,27524
18209,福井県 越前市,80611
18210,福井県 坂井市,88481
18322,福井県 永平寺町,18965
18382,福井県 池田町,2423
18404,福井県 南越前町,10002
18423,福井県 越前町,20118
18442,福井県 美浜町,9179
18481,福井県 高浜町,10326
18483,福井県 おおい町,7910
18501,福井県 若狭町,14003
19201,山梨県 甲府市,189591
19202,山梨県 富士吉田市,46530
19204,山梨県 都留市,31016
19205,山梨県 山梨市,33435
19206,山梨県 大月市,22512
19207,山梨県 韮崎市,29067
19208,山梨県 南アルプス市,69459
19209,山梨県 北杜市,44053
19210,山梨県 甲斐市,75313
19211,山梨県 笛吹市,66947
19212,山梨県 上野原市,22669
19213,山梨県 甲州市,29237
19214,山梨県 中央市,31216
19346,山梨県 市川三郷町,14700
19364,山梨県 早川町,1098
19365,山梨県 身延町,10663
19366,山梨県 南部町,7156
19368,山梨県 富士川町,14219
19384,山梨県 昭和町,20909
19422,山梨県 道志村,1607
19423,山梨県 西桂町,4041
19424,山梨県 忍野村,9237
19425,山梨県 山中湖村,5179
19429,山梨県 鳴沢村,2824
19430,山梨県 富士河口湖町,26082
19442,山梨県 小菅村,684
19443,山梨県 丹波山村,530
20201,長野県 長野市,372760
20202,長野県 松本市,241145
20203,長野県 上田市,154055
20204,長野県 岡谷市,47790
20205,長野県 飯田市,98164
20206,長野県 諏訪市,48729
20207,長野県 須坂市,49559
20208,長野県 小諸市,40991
20209,長野県 伊那市,66125
20210,長野県 駒ヶ根市,32202
20211,長野県 中野市,42338
20212,長野県 大町市,26029
20213,長野県 飯山市,19539
20214,長野県 茅野市,56400
20215,長野県 塩尻市,67241
20217,長野県 佐久市,98199
20218,長野県 千曲市,58852
20219,長野県 東御市,30122
20220,長野県 安曇野市,94222
20303,長野県 小海町,4353
20304,長野県 川上村,4344
20305,長野県 南牧村,3242
20306,長野県 南相木村,962
20307,長野県 北相木村,752
20309,長野県 佐久穂町,10218
20321,長野県 軽井沢町,19188
20323,長野県 御代田町,15555
20324,長野県 立科町,6612
20349,長野県 青木村,4121
20350,長野県 長和町,5600
20361,長野県 下諏訪町,19155
20362,長野県 富士見町,14084
20363,長野県 原村,7680
20382,長野県 辰野町,18555
20383,長野県 箕輪町,24989
20384,長野県 飯島町,9004
20385,長野県 南箕輪村,15797
20386,長野県 中川村,4651
20388,長野県 宮田村,8569
20402,長野県 松川町,12530
20403,長野県 高森町,12811
20404,長野県 阿南町,4299
20407,長野県 阿智村,6068
20409,長野県 平谷村,387
20410,長野県 根羽村,852
20411,長野県 下條村,3545
20412,長野県 売木村,548
20413,長野県 天龍村,1178
20414,長野県 泰阜村,1542
20415,長野県 喬木村,5973
20416,長野県 豊丘村,6426
20417,長野県 大鹿村,1023
20422,長野県 上松町,4131
20423,長野県 南木曽町,3915
20425,長野県 木祖村,2692
20429,長野県 王滝村,715
20430,長野県 大桑村,3439
20432,長野県 木曽町,10584
20446,長野県 麻績村,2593
